cid,acname,smiles,pIC50
117951478,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=NC(=C(C=C3)CNCCNC(=O)C)OC,7.744727495
117941742,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C(C=C3)CN4CCCCC4C(=O)O)Br,6.835647144
118434635,IC50,CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)OCC5=CC(=CC=C5)C#N)CN6C[C@@H](C[C@@H]6C(=O)O)O)Cl,8.853871964
129137991,IC50,CC1=C(C=CC=C1C2=NC3=C(O2)C=CC(=C3)CNCCO)C4=CC=CC=C4,8
117941658,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=CC(=C(C(=C3)OC)CNCCNC(=O)C)OC,7.080294465
117941887,IC50,CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)F)CNC[C@H](CC(=O)O)O)F,7.096910013
135147942,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)C(=O)O)C5=C(C(=CC=C5)NC6=NC=CC7=CC(=CN=C76)C8CCCN8)C,8
135147850,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@@](C4)(C)C(=O)O)C5=C(C(=CC=C5)C6=NC7=C(S6)CN(C7)C(=O)CNC8CC(C8)O)C,8
135147882,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CNC4CC(C4)C(=O)O)C5=C(C(=CC=C5)NC6=NC=CC7=CC(=CN=C76)CN8CC[C@H](C8)O)C,8
135178395,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CNC4CCCC4)C5=C(C(=CC=C5)NC6=NC=CC7=CC(=CN=C76)CN8CC[C@H](C8)O)C,8
135148087,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)O)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)CC8CCC(CC8)C(=O)O)Cl,8
135148149,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)O)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)CC8CCC(CC8)(C)C(=O)O)Cl,8
146234758,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C9CCC(CC9)O)Cl,8.301029996
146234744,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C4CCC(CC4)O)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)CCC89CCC(C8)(CC9)C(=O)O)Cl,8.301029996
146234732,IC50,CC1(CCC(CC1)N2CCC3=C(C2)N=C(N3C)C(=O)NC4=CC=CC(=C4Cl)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)CCC89CCC(C8)(CC9)C(=O)O)Cl)C(=O)O,8.301029996
167005277,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)/C=C/C3=C(C=C(C(=C3)OC)CN4CCCC[C@H]4C(=O)O)C(F)(F)F,8.795880017
131839624,IC50,CC1=CC(=C(C=C1OCC2=C(C(=CC=C2)C3=CC4=C(C=C3)OCCO4)C)OCC5=CC(=CC=C5)C#N)CN[C@H](CO)C(=O)O,8.647817482
132085809,IC50,CC1=C(C=CC=C1C2=NC3=C(S2)CNCC3)C4=CC=CC=C4,7
129240409,IC50,CC1=CC(=NC=C1CNCCO)C(=O)NC2=CC=CC(=C2C)C3=CC=CC=C3,8
162650815,IC50,COC1=C(C=CC(=C1)C(=O)N2CCC3=C(C=CC=C32)C4=CC=CC=C4)CNCCO,6.848051362
134165049,IC50,CCOC1=CC(=C(C=C1CN[C@@H](C)C(=O)O)Cl)O[C@H]2CCC3=C(C=CC=C23)C4=CC=CC=C4F,6.522878745
134165050,IC50,CCOC1=CC(=C(C=C1CN[C@H](CO)C(=O)O)Cl)O[C@H]2CCC3=C(C=CC=C23)C4=CC=CC=C4F,6.522878745
134165165,IC50,CCOC1=CC(=C(C=C1CN[C@@H](CO)C(=O)O)Cl)NC2CCC3=C(C=CC=C23)C4=CC=CC=C4F,6.559879112
134165051,IC50,CCOC1=CC(=C(C=C1CN[C@@H]([C@@H](C)O)C(=O)O)Cl)O[C@H]2CCC3=C(C=CC=C23)C4=CC=CC=C4F,6.522878745
138632287,IC50,CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)/C=C/C4=C(C=CC(=C4)CNC(C)(CO)C(=O)O)C(F)(F)F,7.744727495
91663303,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=CC(=C(C(=C3)OC)CN4CCCC[C@H]4C(=O)O)OC,7.10883895
